sample_name,x,y,z,r,g,b
F1S4_160106_001_B01,-2.3914902,-2.8596869,1.4074998,0.3169031586903167,0.3125572664741326,1.0
F1S4_160106_001_C01,-0.34960148,1.2838994,-2.0480523,1.0,0.27544609383891744,0.2886519749131465
F1S4_160106_001_E01,-0.3047701,1.3362852,-2.091383,1.0,0.3188378421543415,0.13677091117162013
F1S4_160106_001_G01,-0.4927179,0.33002287,-1.0043305,1.0,0.15353644527172117,0.49043768511184704
F1S4_160106_001_H01,-0.7093495,0.58294773,0.37806058,1.0,0.4830966758414831,0.11485021243592852
F1S4_160106_002_C01,-0.92246926,0.019141749,0.92665064,1.0,0.4830966758414831,0.11485021243592852
F1S4_160106_002_D01,0.032416057,2.2254572,-1.7510037,1.0,0.18265072867954016,0.41425121641367113
F1S4_160106_002_F01,0.10567439,2.2928984,-3.006136,1.0,0.3188378421543415,0.13677091117162013
F1S4_160106_002_G01,1.806812,-1.2020805,2.2610238,0.20184020243018944,0.42412570409940353,1.0
F1S4_160106_002_H01,-0.12115434,2.2166243,-3.677745,1.0,0.18265072867954016,0.41425121641367113
F1S4_160106_003_A01,-5.8870053,-1.5657289,4.2515745,0.41333258828085595,1.0,0.28123283104890284
F1S4_160106_003_B01,0.35711274,2.1258435,-0.6143299,1.0,0.15802967952538838,0.20075449686377198
F1S4_160106_003_C01,0.7134575,1.9980531,-1.1218495,0.14418424820537157,0.2789969756969713,1.0
F1S4_160106_003_D01,-0.4710107,1.007784,-1.4222647,1.0,0.15802967952538838,0.20075449686377198
F1S4_160106_003_E01,0.27553368,2.5048559,-1.8147188,1.0,0.4632893908800042,0.32263441783569236
F1S4_160106_003_G01,-0.2100576,1.579634,-1.103785,1.0,0.18265072867954016,0.41425121641367113
F1S4_160106_004_B01,0.12273148,1.8650538,-0.5741316,1.0,0.15802967952538838,0.20075449686377198
F1S4_160106_004_C01,-1.0759791,-4.126996,1.6220539,0.3063233353409832,0.3682593073420669,1.0
F1S4_160106_004_D01,0.12537108,2.0667706,-0.90284663,1.0,0.18265072867954016,0.41425121641367113
F1S4_160106_004_E01,0.0007718449,1.6237271,-0.66059583,1.0,0.4830966758414831,0.11485021243592852
F1S4_160106_004_F01,0.60793585,2.5625443,-1.0132966,1.0,0.18265072867954016,0.41425121641367113
F1S4_160106_004_G01,0.33979133,2.2512326,-0.82662714,1.0,0.15802967952538838,0.20075449686377198
F1S4_160106_004_H01,-0.48605943,1.0253775,0.46172675,1.0,0.4830966758414831,0.11485021243592852
F1S4_160106_005_B01,-0.3160681,2.004123,-2.2981458,1.0,0.18265072867954016,0.41425121641367113
